 time            v(adc0)         v(adc1)         v(adc2)         v(adc3)         v(adc4)         v(adc5)         v(adc6)         v(adc7)        
 1.30560000e-07  4.65826118e-09  4.65826122e-09  4.65826263e-09  4.65826121e-09  4.65914994e-09  4.65914994e-09  4.65826126e-09  4.65828581e-09 
 1.32560000e-07  4.65826121e-09  4.65826116e-09  4.65825976e-09  4.65826112e-09  4.65738851e-09  4.65738851e-09  4.65826107e-09  4.65823651e-09 
 1.34560000e-07  4.65826118e-09  4.65826122e-09  4.65826263e-09  4.65826121e-09  4.65911762e-09  4.65911768e-09  4.65826127e-09  4.65828578e-09 
 1.36560000e-07  4.65826121e-09  4.65826119e-09  4.65825981e-09  4.65826112e-09  4.65742106e-09  4.65742103e-09  4.65826112e-09  4.65823649e-09 
 1.38560000e-07  4.65826120e-09  4.65826120e-09  4.65826265e-09  4.65826122e-09  4.65908488e-09  4.65908490e-09  4.65826127e-09  4.65828585e-09 
 1.40560000e-07  4.65826119e-09  4.65826120e-09  4.65825974e-09  4.65826117e-09  4.65745401e-09  4.65745402e-09  4.65826112e-09  4.65823649e-09 
 1.42560000e-07  4.65826120e-09  4.65826120e-09  4.65826266e-09  4.65826122e-09  4.65905168e-09  4.65905169e-09  4.65826127e-09  4.65828584e-09 
 1.44560000e-07  4.65826121e-09  4.65826118e-09  4.65825972e-09  4.65826117e-09  4.65748741e-09  4.65748741e-09  4.65826106e-09  4.65823651e-09 
 1.46560000e-07  4.65826118e-09  4.65826116e-09  4.65826262e-09  4.65826122e-09  4.65901811e-09  4.65901812e-09  4.65826123e-09  4.65828580e-09 
 1.48560000e-07  4.65826117e-09  4.65826117e-09  4.65825971e-09  4.65826117e-09  4.65752114e-09  4.65752116e-09  4.65826105e-09  4.65823661e-09 
 1.50560000e-07  4.65826116e-09  4.65826124e-09  4.65826262e-09  4.65826122e-09  4.65898416e-09  4.65898417e-09  4.65826129e-09  4.65828576e-09 
 1.52560000e-07  4.65826123e-09  4.65826115e-09  4.65825976e-09  4.65826117e-09  4.65755530e-09  4.65755526e-09  4.65826111e-09  4.65823665e-09 
 1.54560000e-07  4.65826115e-09  4.65826123e-09  4.65826263e-09  4.65826122e-09  4.65894987e-09  4.65894987e-09  4.65826129e-09  4.65828571e-09 
 1.56560000e-07  4.65826124e-09  4.65826112e-09  4.65825970e-09  4.65826117e-09  4.65758972e-09  4.65758973e-09  4.65826111e-09  4.65823672e-09 
 1.58560000e-07  4.65826116e-09  4.65826121e-09  4.65826264e-09  4.65826122e-09  4.65891531e-09  4.65891525e-09  4.65826125e-09  4.65828562e-09 
 1.60560000e-07  4.65826122e-09  4.65826117e-09  4.65825974e-09  4.65826118e-09  4.65762449e-09  4.65762452e-09  4.65826112e-09  4.65823682e-09 
 1.62560000e-07  4.65826118e-09  4.65826121e-09  4.65826266e-09  4.65826116e-09  4.65888040e-09  4.65888039e-09  4.65826127e-09  4.65828552e-09 
 1.64560000e-07  4.65826120e-09  4.65826120e-09  4.65825967e-09  4.65826118e-09  4.65765955e-09  4.65765955e-09  4.65826112e-09  4.65823686e-09 
 1.66560000e-07  4.65826119e-09  4.65826119e-09  4.65826273e-09  4.65826121e-09  4.65884523e-09  4.65884523e-09  4.65826124e-09  4.65828541e-09 
 1.68560000e-07  4.65826120e-09  4.65826115e-09  4.65825966e-09  4.65826118e-09  4.65769481e-09  4.65769484e-09  4.65826107e-09  4.65823699e-09 
 1.70560000e-07  4.65826118e-09  4.65826118e-09  4.65826269e-09  4.65826121e-09  4.65880982e-09  4.65880978e-09  4.65826122e-09  4.65828528e-09 
 1.72560000e-07  4.65826123e-09  4.65826122e-09  4.65825970e-09  4.65826118e-09  4.65773034e-09  4.65773035e-09  4.65826112e-09  4.65823715e-09 
 1.74560000e-07  4.65826116e-09  4.65826113e-09  4.65826269e-09  4.65826121e-09  4.65877417e-09  4.65877413e-09  4.65826127e-09  4.65828514e-09 
 1.76560000e-07  4.65826118e-09  4.65826120e-09  4.65825963e-09  4.65826118e-09  4.65776614e-09  4.65776614e-09  4.65826112e-09  4.65823728e-09 
 1.78560000e-07  4.65826115e-09  4.65826114e-09  4.65826271e-09  4.65826121e-09  4.65873825e-09  4.65873828e-09  4.65826127e-09  4.65828498e-09 
 1.80560000e-07  4.65826125e-09  4.65826119e-09  4.65825968e-09  4.65826118e-09  4.65780210e-09  4.65780206e-09  4.65826113e-09  4.65823745e-09 
 1.82560000e-07  4.65826113e-09  4.65826115e-09  4.65826272e-09  4.65826121e-09  4.65870220e-09  4.65870222e-09  4.65826126e-09  4.65828480e-09 
 1.84560000e-07  4.65826127e-09  4.65826118e-09  4.65825962e-09  4.65826118e-09  4.65783827e-09  4.65783825e-09  4.65826113e-09  4.65823769e-09 
 1.86560000e-07  4.65826112e-09  4.65826121e-09  4.65826272e-09  4.65826121e-09  4.65866598e-09  4.65866597e-09  4.65826126e-09  4.65828467e-09 
 1.88560000e-07  4.65826128e-09  4.65826118e-09  4.65825961e-09  4.65826118e-09  4.65787456e-09  4.65787454e-09  4.65826113e-09  4.65823788e-09 
 1.90560000e-07  4.65826112e-09  4.65826120e-09  4.65826272e-09  4.65826121e-09  4.65862963e-09  4.65862965e-09  4.65826126e-09  4.65828441e-09 
 1.92560000e-07  4.65826126e-09  4.65826114e-09  4.65825961e-09  4.65826119e-09  4.65791098e-09  4.65791094e-09  4.65826113e-09  4.65823804e-09 
 1.94560000e-07  4.65826113e-09  4.65826118e-09  4.65826272e-09  4.65826121e-09  4.65859315e-09  4.65859316e-09  4.65826125e-09  4.65828425e-09 
 1.96560000e-07  4.65826125e-09  4.65826116e-09  4.65825962e-09  4.65826119e-09  4.65794753e-09  4.65794750e-09  4.65826114e-09  4.65823826e-09 
 1.98560000e-07  4.65826115e-09  4.65826113e-09  4.65826271e-09  4.65826121e-09  4.65855657e-09  4.65855657e-09  4.65826119e-09  4.65828401e-09 
 2.00560000e-07  4.65826125e-09  4.65826120e-09  4.65825968e-09  4.65826119e-09  4.65798413e-09  4.65798413e-09  4.65826115e-09  4.65823851e-09 
 2.02560000e-07  4.65826114e-09  4.65826118e-09  4.65826274e-09  4.65826120e-09  4.65851991e-09  4.65851987e-09  4.65826121e-09  4.65828376e-09 
 2.04560000e-07  4.65826126e-09  4.65826123e-09  4.65825968e-09  4.65826119e-09  4.65802086e-09  4.65802084e-09  4.65826115e-09  4.65823877e-09 
 2.06560000e-07  4.65826112e-09  4.65826116e-09  4.65826270e-09  4.65826120e-09  4.65848314e-09  4.65848317e-09  4.65826124e-09  4.65828349e-09 
 2.08560000e-07  4.65826127e-09  4.65826122e-09  4.65825963e-09  4.65826119e-09  4.65805759e-09  4.65805763e-09  4.65826115e-09  4.65823903e-09 
 2.10560000e-07  4.65826107e-09  4.65826113e-09  4.65826277e-09  4.65826121e-09  4.65844638e-09  4.65844634e-09  4.65826124e-09  4.65828316e-09 
 2.12560000e-07  4.65826127e-09  4.65826120e-09  4.65825963e-09  4.65826119e-09  4.65809441e-09  4.65809441e-09  4.65826109e-09  4.65823926e-09 
 2.14560000e-07  4.65826113e-09  4.65826119e-09  4.65826277e-09  4.65826120e-09  4.65840953e-09  4.65840955e-09  4.65826125e-09  4.65828293e-09 
 2.16560000e-07  4.65826127e-09  4.65826119e-09  4.65825968e-09  4.65826119e-09  4.65813124e-09  4.65813125e-09  4.65826109e-09  4.65823961e-09 
 2.18560000e-07  4.65826112e-09  4.65826121e-09  4.65826271e-09  4.65826121e-09  4.65837272e-09  4.65837269e-09  4.65826125e-09  4.65828263e-09 
 2.20560000e-07  4.65826127e-09  4.65826117e-09  4.65825963e-09  4.65826119e-09  4.65816810e-09  4.65816810e-09  4.65826114e-09  4.65823986e-09 
 2.22560000e-07  4.65826111e-09  4.65826124e-09  4.65826277e-09  4.65826121e-09  4.65833586e-09  4.65833583e-09  4.65826125e-09  4.65828231e-09 
 2.24560000e-07  4.65826122e-09  4.65826115e-09  4.65825963e-09  4.65826112e-09  4.65820491e-09  4.65820492e-09  4.65826114e-09  4.65824020e-09 
 2.26560000e-07  4.65826113e-09  4.65826122e-09  4.65826277e-09  4.65826122e-09  4.65829906e-09  4.65829903e-09  4.65826125e-09  4.65828202e-09 
 2.28560000e-07  4.65826126e-09  4.65826114e-09  4.65825963e-09  4.65826117e-09  4.65824168e-09  4.65824174e-09  4.65826114e-09  4.65824057e-09 
 2.30560000e-07  4.65826113e-09  4.65826124e-09  4.65826270e-09  4.65826122e-09  4.65826228e-09  4.65826222e-09  4.65826125e-09  4.65828162e-09 
 2.32560000e-07  4.65826125e-09  4.65826117e-09  4.65825964e-09  4.65826118e-09  4.65827851e-09  4.65827850e-09  4.65826114e-09  4.65824090e-09 
 2.34560000e-07  4.65826115e-09  4.65826123e-09  4.65826269e-09  4.65826115e-09  4.65822553e-09  4.65822548e-09  4.65826125e-09  4.65828128e-09 
 2.36560000e-07  4.65826123e-09  4.65826116e-09  4.65825966e-09  4.65826119e-09  4.65831520e-09  4.65831522e-09  4.65826114e-09  4.65824127e-09 
 2.38560000e-07  4.65826117e-09  4.65826123e-09  4.65826268e-09  4.65826114e-09  4.65818882e-09  4.65818878e-09  4.65826123e-09  4.65828093e-09 
 2.40000000e-07  4.65826121e-09  4.65826116e-09  4.65825968e-09  4.65826121e-09  4.65835895e-09  4.65835894e-09  4.65826109e-09  4.65824169e-09 
 2.40200000e-07  4.65826118e-09  4.65826122e-09  4.65826114e-09  4.65826118e-09  4.65821559e-09  4.65821558e-09  4.65826120e-09  4.65826064e-09 
 2.40600000e-07  4.65826116e-09  4.65826116e-09  4.65826124e-09  4.65826121e-09  4.65830639e-09  4.65830638e-09  4.65826114e-09  4.65826171e-09 
 2.41400000e-07  4.65826127e-09  4.65826127e-09  4.65826115e-09  4.65826111e-09  4.65821619e-09  4.65821621e-09  4.65826117e-09  4.65826065e-09 
 2.42462548e-07  4.65826112e-09  4.65826110e-09  4.65826126e-09  4.65826124e-09  4.65830606e-09  4.65830604e-09  4.65826125e-09  4.65826175e-09 
 2.43628393e-07  4.65867337e-09  4.65867337e-09  4.65867322e-09  4.65867324e-09  4.65862859e-09  4.65862855e-09  4.65867323e-09  4.65867276e-09 
 2.44415386e-07  4.65250745e-09  4.65250735e-09  4.65250744e-09  4.65250739e-09  4.65255180e-09  4.65255184e-09  4.65250740e-09  4.65250720e-09 
 2.45000000e-07  4.69136942e-09  4.69136954e-09  4.69136956e-09  4.69136960e-09  4.69132549e-09  4.69132550e-09  4.69136960e-09  4.69137783e-09 
 2.45072830e-07  4.58471707e-09  4.58471699e-09  4.58471708e-09  4.58471711e-09  4.58472145e-09  4.58472128e-09  4.58471716e-09  4.58434849e-09 
 2.45218491e-07  4.15783973e-09  4.15783968e-09  4.15783954e-09  4.15783957e-09  4.15781637e-09  4.15781658e-09  4.15783952e-09  4.15943371e-09 
 2.45509812e-07  5.93123023e-09  5.93123022e-09  5.93123028e-09  5.93123020e-09  5.93126856e-09  5.93126831e-09  5.93123018e-09  5.92862190e-09 
 2.45847036e-07  2.38526456e-09  2.38526452e-09  2.38526462e-09  2.38526468e-09  2.38521385e-09  2.38521411e-09  2.38526469e-09  2.38892701e-09 
 2.46521484e-07  7.54248178e-09  7.54248178e-09  7.54248169e-09  7.54248165e-09  7.54253672e-09  7.54253648e-09  7.54248164e-09  7.53824761e-09 
 2.47870381e-07  1.44257505e-09  1.44257505e-09  1.44257518e-09  1.44257518e-09  1.44251895e-09  1.44251918e-09  1.44257519e-09  1.44710298e-09 
 2.49870381e-07  8.10662401e-09  8.10662402e-09  8.10662392e-09  8.10662390e-09  8.10668043e-09  8.10668024e-09  8.10662386e-09  8.10189560e-09 
 2.51870381e-07  9.70203361e-10  9.70203348e-10  9.70203452e-10  9.70203450e-10  9.70147035e-10  9.70147213e-10  9.70203461e-10  9.75133894e-10 
 2.53870381e-07  8.59274555e-09  8.59274549e-09  8.59274544e-09  8.59274542e-09  8.59280125e-09  8.59280107e-09  8.59274540e-09  8.58761153e-09 
 2.55870381e-07  4.70911034e-10  4.70911049e-10  4.70911077e-10  4.70911113e-10  4.70856318e-10  4.70856494e-10  4.70911117e-10  4.76249567e-10 
 2.57870381e-07  9.10460957e-09  9.10460953e-09  9.10460951e-09  9.10460948e-09  9.10466269e-09  9.10466252e-09  9.10460950e-09  9.09906569e-09 
 2.59870381e-07 -5.29232899e-11 -5.29232655e-11 -5.29232726e-11 -5.29232582e-11 -5.29743366e-11 -5.29741683e-11 -5.29232289e-11 -4.71717140e-11 
 2.61870381e-07  9.63978304e-09  9.63978303e-09  9.63978302e-09  9.63978298e-09  9.63983134e-09  9.63983118e-09  9.63978297e-09  9.63382329e-09 
 2.63870381e-07 -5.98950096e-10 -5.98950030e-10 -5.98950062e-10 -5.98950057e-10 -5.98995070e-10 -5.98994920e-10 -5.98950056e-10 -5.92781948e-10 
 2.65870381e-07  1.01960074e-08  1.01960074e-08  1.01960074e-08  1.01960074e-08  1.01960485e-08  1.01960484e-08  1.01960074e-08  1.01896310e-08 
 2.67870381e-07 -1.16471475e-09 -1.16471475e-09 -1.16471478e-09 -1.16471474e-09 -1.16475128e-09 -1.16475110e-09 -1.16471474e-09 -1.15813020e-09 
 2.69870381e-07  1.07706418e-08  1.07706418e-08  1.07706418e-08  1.07706418e-08  1.07706731e-08  1.07706730e-08  1.07706418e-08  1.07638498e-08 
 2.71870381e-07 -1.74754960e-09 -1.74754961e-09 -1.74754966e-09 -1.74754956e-09 -1.74757503e-09 -1.74757491e-09 -1.74754958e-09 -1.74055066e-09 
 2.73870381e-07  1.13609990e-08  1.13609990e-08  1.13609990e-08  1.13609990e-08  1.13610179e-08  1.13610178e-08  1.13609990e-08  1.13537941e-08 
 2.75870381e-07 -2.34475493e-09 -2.34475491e-09 -2.34475496e-09 -2.34475493e-09 -2.34476660e-09 -2.34476650e-09 -2.34475492e-09 -2.33734518e-09 
 2.77870381e-07  1.19643735e-08  1.19643735e-08  1.19643735e-08  1.19643735e-08  1.19643774e-08  1.19643773e-08  1.19643735e-08  1.19567603e-08 
 2.79870381e-07 -2.95362560e-09 -2.95362554e-09 -2.95362565e-09 -2.95362559e-09 -2.95362102e-09 -2.95362094e-09 -2.95362560e-09 -2.94581037e-09 
 2.81870381e-07  1.25780664e-08  1.25780664e-08  1.25780664e-08  1.25780663e-08  1.25780528e-08  1.25780527e-08  1.25780663e-08  1.25700510e-08 
 2.83870381e-07 -3.57147465e-09 -3.57147464e-09 -3.57147465e-09 -3.57147461e-09 -3.57145146e-09 -3.57145135e-09 -3.57147460e-09 -3.56326093e-09 
 2.85870381e-07  1.31994079e-08  1.31994078e-08  1.31994079e-08  1.31994078e-08  1.31993745e-08  1.31993745e-08  1.31994078e-08  1.31909981e-08 
 2.87870381e-07 -4.19565419e-09 -4.19565419e-09 -4.19565426e-09 -4.19565420e-09 -4.19561023e-09 -4.19561017e-09 -4.19565417e-09 -4.18705060e-09 
 2.89870381e-07  1.38257766e-08  1.38257765e-08  1.38257766e-08  1.38257766e-08  1.38257215e-08  1.38257215e-08  1.38257766e-08  1.38169818e-08 
 2.91870381e-07 -4.82357371e-09 -4.82357367e-09 -4.82357376e-09 -4.82357369e-09 -4.82350716e-09 -4.82350711e-09 -4.82357370e-09 -4.81459034e-09 
 2.93870381e-07  1.44546166e-08  1.44546166e-08  1.44546167e-08  1.44546167e-08  1.44545383e-08  1.44545382e-08  1.44546166e-08  1.44454477e-08 
 2.95870381e-07 -5.45271559e-09 -5.45271552e-09 -5.45271565e-09 -5.45271557e-09 -5.45262510e-09 -5.45262503e-09 -5.45271558e-09 -5.44336407e-09 
