 yes             v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(Vitest)       i(Viout)        v(Vout)         i(v.x3.vib0)    i(v.x3.vib1)    i(v.x3.vib2)    i(v.x3.vib3)    i(v.x3.vib4)    i(v.x3.vib5)    i(v.x3.vib6)   
 1.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  3.33405245e-08  4.12949570e-08  4.12949570e-05  1.04362661e-07  1.04697507e-07  1.07940954e-07  1.00394118e-07  1.07113848e-07  1.11084336e-14  1.09541235e-14 
 1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  3.53843595e-08  4.33224447e-08  4.33224447e-05  1.12076311e-14  1.16216075e-14  1.18389928e-14  1.16447646e-14  1.19473383e-14  1.07787019e-07  1.09522753e-14 
 1.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  3.65109339e-08  4.44401471e-08  4.44401471e-05  1.04363140e-07  1.15541719e-14  1.18039180e-14  1.16322755e-14  1.19435299e-14  1.07786994e-07  1.09512939e-14 
 1.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  3.75725124e-08  4.54934232e-08  4.54934232e-05  1.11265998e-14  1.04698177e-07  1.17873456e-14  1.16236205e-14  1.19402756e-14  1.07786972e-07  1.09504029e-14 
 1.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  3.86256136e-08  4.65383223e-08  4.65383223e-05  1.04362839e-07  1.04697861e-07  1.17758273e-14  1.16166549e-14  1.19372946e-14  1.07786949e-07  1.09495401e-14 
 1.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  3.97450200e-08  4.76490257e-08  4.76490257e-05  1.11453432e-14  1.15538868e-14  1.07941600e-07  1.16103919e-14  1.19343638e-14  1.07786926e-07  1.09486432e-14 
 1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  4.07990025e-08  4.86948101e-08  4.86948101e-05  1.04362972e-07  1.15324116e-14  1.07941438e-07  1.16052695e-14  1.19317768e-14  1.07786905e-07  1.09478169e-14 
 1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  4.18073196e-08  4.96952658e-08  4.96952658e-05  1.11142249e-14  1.04697856e-07  1.07941304e-07  1.16009202e-14  1.19294520e-14  1.07786886e-07  1.09470534e-14 
 1.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  4.27906372e-08  5.06708867e-08  5.06708867e-05  1.04362721e-07  1.04697620e-07  1.07941189e-07  1.15970877e-14  1.19272995e-14  1.07786867e-07  1.09463207e-14 
 1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  4.37186131e-08  5.15915615e-08  5.15915615e-05  1.11643216e-14  1.15747890e-14  1.17891398e-14  1.00394617e-07  1.19253608e-14  1.07786849e-07  1.09456433e-14 
 1.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  4.47807387e-08  5.26452745e-08  5.26452745e-05  1.04363057e-07  1.15424846e-14  1.17768095e-14  1.00394544e-07  1.19232454e-14  1.07786830e-07  1.09448886e-14 
 1.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  4.57838752e-08  5.36404002e-08  5.36404002e-05  1.11202646e-14  1.04698013e-07  1.17678349e-14  1.00394479e-07  1.19213375e-14  1.07786812e-07  1.09441839e-14 
 1.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  4.67718631e-08  5.46204268e-08  5.46204268e-05  1.04362782e-07  1.04697742e-07  1.17604617e-14  1.00394419e-07  1.19195303e-14  1.07786794e-07  1.09435103e-14 
 1.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  4.78573894e-08  5.56971142e-08  5.56971142e-05  1.11350821e-14  1.15424279e-14  1.07941321e-07  1.00394357e-07  1.19176305e-14  1.07786775e-07  1.09427804e-14 
 1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  4.88482774e-08  5.66798418e-08  5.66798418e-05  1.04362907e-07  1.15254980e-14  1.07941198e-07  1.00394304e-07  1.19159572e-14  1.07786758e-07  1.09421276e-14 
 1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  4.98042567e-08  5.76278578e-08  5.76278578e-05  1.11098557e-14  1.04697741e-07  1.07941091e-07  1.00394255e-07  1.19143999e-14  1.07786742e-07  1.09415126e-14 
 1.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  5.07325929e-08  5.85483704e-08  5.85483704e-05  1.04362673e-07  1.04697528e-07  1.07940997e-07  1.00394209e-07  1.19129371e-14  1.07786727e-07  1.09409215e-14 
