Instance,Terminal,Layer,X location,Y location,Voltage
clkbuf_0_clk,VPWR,li1,62.1000,24.4800,1.799988
fanout34,VPWR,li1,25.7600,19.0400,1.799999
fanout33,VPWR,li1,74.0600,24.4800,1.799987
fanout32,VPWR,li1,88.5500,19.0400,1.799997
fanout31,VPWR,li1,87.4000,29.9200,1.799998
fanout30,VPWR,li1,106.2600,24.4800,1.799987
wire29,VPWR,li1,26.9100,24.4800,1.799996
fanout28,VPWR,li1,51.0600,19.0400,1.799998
output27,VPWR,li1,16.5600,35.3600,1.799999
output26,VPWR,li1,34.0400,35.3600,1.799998
output25,VPWR,li1,51.5200,35.3600,1.799997
output24,VPWR,li1,69.0000,35.3600,1.799996
output23,VPWR,li1,86.4800,35.3600,1.799996
output22,VPWR,li1,103.9600,35.3600,1.799995
output21,VPWR,li1,122.8200,35.3600,1.799995
output20,VPWR,li1,137.0800,35.3600,1.799995
output19,VPWR,li1,7.8200,35.3600,1.799999
output18,VPWR,li1,25.3000,35.3600,1.799999
output17,VPWR,li1,42.7800,35.3600,1.799998
output16,VPWR,li1,60.2600,35.3600,1.799997
output15,VPWR,li1,77.7400,35.3600,1.799996
output14,VPWR,li1,97.0600,35.3600,1.799995
output13,VPWR,li1,112.7000,35.3600,1.799995
output12,VPWR,li1,130.1800,35.3600,1.799995
output11,VPWR,li1,137.0800,13.6000,1.799996
output10,VPWR,li1,9.6600,35.3600,1.799999
output9,VPWR,li1,7.8200,35.3600,1.799999
output8,VPWR,li1,11.5000,35.3600,1.799999
output7,VPWR,li1,7.8200,29.9200,1.799999
output6,VPWR,li1,7.8200,24.4800,1.799997
output5,VPWR,li1,7.8200,24.4800,1.799997
output4,VPWR,li1,7.8200,13.6000,1.799999
output3,VPWR,li1,9.6600,13.6000,1.799999
input2,VPWR,li1,7.5900,13.6000,1.799999
input1,VPWR,li1,135.4700,35.3600,1.799995
TAP_TAPCELL_ROW_9_79,VPWR,li1,134.5500,35.6660,1.799995
TAP_TAPCELL_ROW_9_78,VPWR,li1,121.6700,35.6660,1.799995
TAP_TAPCELL_ROW_9_77,VPWR,li1,108.7900,35.6660,1.799995
TAP_TAPCELL_ROW_9_76,VPWR,li1,95.9100,35.6660,1.799995
TAP_TAPCELL_ROW_9_75,VPWR,li1,83.0300,35.6660,1.799996
TAP_TAPCELL_ROW_9_74,VPWR,li1,70.1500,35.6660,1.799996
TAP_TAPCELL_ROW_9_73,VPWR,li1,57.2700,35.6660,1.799997
TAP_TAPCELL_ROW_9_72,VPWR,li1,44.3900,35.6660,1.799997
TAP_TAPCELL_ROW_9_71,VPWR,li1,31.5100,35.6660,1.799998
TAP_TAPCELL_ROW_9_70,VPWR,li1,18.6300,35.6660,1.799999
TAP_TAPCELL_ROW_8_69,VPWR,li1,121.6700,35.0530,1.799995
TAP_TAPCELL_ROW_8_68,VPWR,li1,95.9100,35.0530,1.799995
TAP_TAPCELL_ROW_8_67,VPWR,li1,70.1500,35.0530,1.799996
TAP_TAPCELL_ROW_8_66,VPWR,li1,44.3900,35.0530,1.799997
TAP_TAPCELL_ROW_8_65,VPWR,li1,18.6300,35.0530,1.799999
TAP_TAPCELL_ROW_7_64,VPWR,li1,134.5500,30.2260,1.799998
TAP_TAPCELL_ROW_7_63,VPWR,li1,108.7900,30.2260,1.799998
TAP_TAPCELL_ROW_7_62,VPWR,li1,83.0300,30.2260,1.799998
TAP_TAPCELL_ROW_7_61,VPWR,li1,57.2700,30.2260,1.799999
TAP_TAPCELL_ROW_7_60,VPWR,li1,31.5100,30.2260,1.799999
TAP_TAPCELL_ROW_6_59,VPWR,li1,121.6700,29.6130,1.799998
TAP_TAPCELL_ROW_6_58,VPWR,li1,95.9100,29.6130,1.799998
TAP_TAPCELL_ROW_6_57,VPWR,li1,70.1500,29.6130,1.799998
TAP_TAPCELL_ROW_6_56,VPWR,li1,44.3900,29.6130,1.799999
TAP_TAPCELL_ROW_6_55,VPWR,li1,18.6300,29.6130,1.800000
TAP_TAPCELL_ROW_5_54,VPWR,li1,134.5500,24.7860,1.799987
TAP_TAPCELL_ROW_5_53,VPWR,li1,108.7900,24.7860,1.799987
TAP_TAPCELL_ROW_5_52,VPWR,li1,83.0300,24.7860,1.799987
TAP_TAPCELL_ROW_5_51,VPWR,li1,57.2700,24.7860,1.799989
TAP_TAPCELL_ROW_5_50,VPWR,li1,31.5100,24.7860,1.799995
TAP_TAPCELL_ROW_4_49,VPWR,li1,121.6700,24.1730,1.799987
TAP_TAPCELL_ROW_4_48,VPWR,li1,95.9100,24.1730,1.799987
TAP_TAPCELL_ROW_4_47,VPWR,li1,70.1500,24.1730,1.799988
TAP_TAPCELL_ROW_4_46,VPWR,li1,44.3900,24.1730,1.799992
TAP_TAPCELL_ROW_4_45,VPWR,li1,18.6300,24.1730,1.799997
TAP_TAPCELL_ROW_3_44,VPWR,li1,134.5500,19.3460,1.799997
TAP_TAPCELL_ROW_3_43,VPWR,li1,108.7900,19.3460,1.799997
TAP_TAPCELL_ROW_3_42,VPWR,li1,83.0300,19.3460,1.799997
TAP_TAPCELL_ROW_3_41,VPWR,li1,57.2700,19.3460,1.799998
TAP_TAPCELL_ROW_3_40,VPWR,li1,31.5100,19.3460,1.799999
TAP_TAPCELL_ROW_2_39,VPWR,li1,121.6700,18.7330,1.799997
TAP_TAPCELL_ROW_2_38,VPWR,li1,95.9100,18.7330,1.799997
TAP_TAPCELL_ROW_2_37,VPWR,li1,70.1500,18.7330,1.799998
TAP_TAPCELL_ROW_2_36,VPWR,li1,44.3900,18.7330,1.799998
TAP_TAPCELL_ROW_2_35,VPWR,li1,18.6300,18.7330,1.799999
TAP_TAPCELL_ROW_1_34,VPWR,li1,134.5500,13.9060,1.799996
TAP_TAPCELL_ROW_1_33,VPWR,li1,108.7900,13.9060,1.799996
TAP_TAPCELL_ROW_1_32,VPWR,li1,83.0300,13.9060,1.799997
TAP_TAPCELL_ROW_1_31,VPWR,li1,57.2700,13.9060,1.799997
TAP_TAPCELL_ROW_1_30,VPWR,li1,31.5100,13.9060,1.799999
TAP_TAPCELL_ROW_0_29,VPWR,li1,134.5500,13.2930,1.799996
TAP_TAPCELL_ROW_0_28,VPWR,li1,121.6700,13.2930,1.799996
TAP_TAPCELL_ROW_0_27,VPWR,li1,108.7900,13.2930,1.799996
TAP_TAPCELL_ROW_0_26,VPWR,li1,95.9100,13.2930,1.799996
TAP_TAPCELL_ROW_0_25,VPWR,li1,83.0300,13.2930,1.799997
TAP_TAPCELL_ROW_0_24,VPWR,li1,70.1500,13.2930,1.799997
TAP_TAPCELL_ROW_0_23,VPWR,li1,57.2700,13.2930,1.799997
TAP_TAPCELL_ROW_0_22,VPWR,li1,44.3900,13.2930,1.799998
TAP_TAPCELL_ROW_0_21,VPWR,li1,31.5100,13.2930,1.799999
TAP_TAPCELL_ROW_0_20,VPWR,li1,18.6300,13.2930,1.799999
