 yes             code            v(sb0)          v(sb1)          v(sb2)          v(sb3)          v(sb4)          v(sb5)          v(sb6)          v(sb7)          v(vconst)       i(vib)          i(visense)      i(vidump)      
 1.00000000e+00  1.00000000e+01  0.00000000e+00  1.50000000e+00  0.00000000e+00  1.50000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.03779229e-01  2.44374012e-06  9.54637234e-08  2.34827638e-06 
 1.00000000e+00  1.10000000e+01  1.50000000e+00  1.50000000e+00  0.00000000e+00  1.50000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.03779229e-01  2.44374012e-06  1.05010133e-07  2.33872997e-06 
 1.00000000e+00  1.20000000e+01  0.00000000e+00  0.00000000e+00  1.50000000e+00  1.50000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.03779229e-01  2.44374012e-06  1.14556475e-07  2.32918363e-06 
 1.00000000e+00  1.30000000e+01  1.50000000e+00  0.00000000e+00  1.50000000e+00  1.50000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.03779229e-01  2.44374012e-06  1.24102885e-07  2.31963722e-06 
 1.00000000e+00  1.40000000e+01  0.00000000e+00  1.50000000e+00  1.50000000e+00  1.50000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.03779229e-01  2.44374012e-06  1.33649280e-07  2.31009082e-06 
 1.00000000e+00  1.50000000e+01  1.50000000e+00  1.50000000e+00  1.50000000e+00  1.50000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.03779229e-01  2.44374012e-06  1.43195690e-07  2.30054441e-06 
 1.00000000e+00  1.60000000e+01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.03779229e-01  2.44374012e-06  1.52740990e-07  2.29099911e-06 
 1.00000000e+00  1.70000000e+01  1.50000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.03779229e-01  2.44374012e-06  1.62287400e-07  2.28145270e-06 
 1.00000000e+00  1.80000000e+01  0.00000000e+00  1.50000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.03779229e-01  2.44374012e-06  1.71833795e-07  2.27190631e-06 
 1.00000000e+00  1.90000000e+01  1.50000000e+00  1.50000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.03779229e-01  2.44374012e-06  1.81380205e-07  2.26235990e-06 
 1.00000000e+00  2.00000000e+01  0.00000000e+00  0.00000000e+00  1.50000000e+00  0.00000000e+00  1.50000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.03779229e-01  2.44374012e-06  1.90926546e-07  2.25281356e-06 
 1.00000000e+00  2.10000000e+01  1.50000000e+00  0.00000000e+00  1.50000000e+00  0.00000000e+00  1.50000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.03779229e-01  2.44374012e-06  2.00472956e-07  2.24326715e-06 
 1.00000000e+00  2.20000000e+01  0.00000000e+00  1.50000000e+00  1.50000000e+00  0.00000000e+00  1.50000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.03779229e-01  2.44374012e-06  2.10019351e-07  2.23372075e-06 
 1.00000000e+00  2.30000000e+01  1.50000000e+00  1.50000000e+00  1.50000000e+00  0.00000000e+00  1.50000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.03779229e-01  2.44374012e-06  2.19565761e-07  2.22417434e-06 
