 yes             v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(Vitest)       i(Viout)        v(Vout)         i(v.x3.vib0)    i(v.x3.vib1)    i(v.x3.vib2)    i(v.x3.vib3)    i(v.x3.vib4)    i(v.x3.vib5)    i(v.x3.vib6)   
 1.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  6.44243606e-07  6.42192310e-07  6.42192310e-04  1.06314899e-06  1.06314302e-06  4.25728619e-14  1.06313848e-06  1.06313695e-06  1.06314542e-06  4.26725041e-14 
 1.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  6.54820859e-07  6.52767925e-07  6.52767925e-04  4.27889802e-14  4.26709056e-14  1.06314471e-06  1.06313558e-06  1.06313556e-06  1.06314463e-06  4.26696768e-14 
 1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  6.64929123e-07  6.62875738e-07  6.62875738e-04  1.06315644e-06  4.25951765e-14  1.06313857e-06  1.06313292e-06  1.06313426e-06  1.06314388e-06  4.26670149e-14 
 1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  6.74985439e-07  6.72932686e-07  6.72932686e-04  4.26655914e-14  1.06314322e-06  1.06313302e-06  1.06313040e-06  1.06313299e-06  1.06314314e-06  4.26644042e-14 
 1.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  6.84656451e-07  6.82605323e-07  6.82605323e-04  1.06314273e-06  1.06313191e-06  1.06312810e-06  1.06312807e-06  1.06313180e-06  1.06314244e-06  4.26619280e-14 
 1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  7.05895330e-07  7.03851273e-07  7.03851273e-04  4.33178179e-14  4.32134726e-14  4.31077766e-14  4.30000940e-14  4.28897185e-14  4.27756960e-14  1.06317365e-06 
 1.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  7.17197000e-07  7.15158671e-07  7.15158671e-04  1.06317324e-06  4.27664095e-14  4.28538608e-14  4.28898946e-14  4.28531818e-14  4.27653780e-14  1.06317293e-06 
 1.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  7.28464330e-07  7.26433074e-07  7.26433074e-04  4.27712500e-14  1.06317252e-06  4.27565951e-14  4.28238140e-14  4.28234285e-14  4.27556874e-14  1.06317222e-06 
 1.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  7.39546337e-07  7.37523366e-07  7.37523366e-04  1.06315476e-06  1.06315420e-06  4.26944870e-14  4.27766178e-14  4.27984613e-14  4.27466639e-14  1.06317154e-06 
 1.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  7.50885798e-07  7.48872671e-07  7.48872671e-04  4.28805354e-14  4.27664661e-14  1.06317115e-06  4.27386479e-14  4.27760839e-14  4.27378910e-14  1.06317085e-06 
 1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  7.62038460e-07  7.60036367e-07  7.60036367e-04  1.06316312e-06  4.26529351e-14  1.06316136e-06  4.27076570e-14  4.27564507e-14  4.27296675e-14  1.06317018e-06 
 1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  7.73043922e-07  7.71054033e-07  7.71054033e-04  4.27046390e-14  1.06315416e-06  1.06315316e-06  4.26813390e-14  4.27388999e-14  4.27219060e-14  1.06316953e-06 
 1.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  7.83685387e-07  7.81708546e-07  7.81708546e-04  1.06314766e-06  1.06314059e-06  1.06314623e-06  4.26588720e-14  4.27233344e-14  4.27147037e-14  1.06316890e-06 
 1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  7.95391255e-07  7.93430187e-07  7.93430187e-04  4.29822564e-14  4.28715338e-14  4.27568494e-14  1.06316850e-06  4.27075377e-14  4.27070935e-14  1.06316823e-06 
 1.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  8.06494637e-07  8.04549907e-07  8.04549907e-04  1.06316790e-06  4.27009514e-14  4.26939825e-14  1.06316358e-06  4.26936789e-14  4.27001515e-14  1.06316759e-06 
 1.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  8.17454815e-07  8.15527531e-07  8.15527531e-04  4.27347074e-14  1.06316249e-06  4.26475273e-14  1.06315914e-06  4.26809548e-14  4.26935414e-14  1.06316698e-06 
 1.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  8.28160529e-07  8.26251556e-07  8.26251556e-04  1.06315109e-06  1.06314696e-06  4.26105669e-14  1.06315513e-06  4.26693108e-14  4.26872996e-14  1.06316638e-06 
 1.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  8.39235784e-07  8.37347079e-07  8.37347079e-04  4.28180623e-14  4.27013848e-14  1.06315322e-06  1.06315127e-06  4.26579725e-14  4.26810493e-14  1.06316577e-06 
