 v-sweep         v(vin_p)        i(v.x1.vib)     i(viout_p)      i(viout_n)     
 1.00000000e+00  1.00000000e+00  8.85151529e-06  1.14821670e-05  6.18804663e-06 
 1.01000000e+00  1.01000000e+00  8.85152841e-06  1.14834744e-05  6.18675230e-06 
 1.02000000e+00  1.02000000e+00  8.85153952e-06  1.14845820e-05  6.18565589e-06 
 1.03000000e+00  1.03000000e+00  8.85154892e-06  1.14855199e-05  6.18472738e-06 
 1.04000000e+00  1.04000000e+00  8.85155688e-06  1.14863137e-05  6.18394155e-06 
 1.05000000e+00  1.05000000e+00  8.85156361e-06  1.14869849e-05  6.18327712e-06 
 1.06000000e+00  1.06000000e+00  8.85156929e-06  1.14875516e-05  6.18271613e-06 
 1.07000000e+00  1.07000000e+00  8.85157408e-06  1.14880291e-05  6.18224338e-06 
 1.08000000e+00  1.08000000e+00  8.85157811e-06  1.14884306e-05  6.18184596e-06 
 1.09000000e+00  1.09000000e+00  8.85158148e-06  1.14887670e-05  6.18151288e-06 
 1.10000000e+00  1.10000000e+00  8.85158430e-06  1.14890480e-05  6.18123472e-06 
 1.11000000e+00  1.11000000e+00  8.85158664e-06  1.14892817e-05  6.18100342e-06 
 1.12000000e+00  1.12000000e+00  8.85158858e-06  1.14894750e-05  6.18081199e-06 
 1.13000000e+00  1.13000000e+00  8.85159017e-06  1.14896342e-05  6.18065441e-06 
 1.14000000e+00  1.14000000e+00  8.85159148e-06  1.14897645e-05  6.18052547e-06 
 1.15000000e+00  1.15000000e+00  8.85159254e-06  1.14898704e-05  6.18042061e-06 
 1.16000000e+00  1.16000000e+00  8.85159340e-06  1.14899560e-05  6.18033590e-06 
 1.17000000e+00  1.17000000e+00  8.85159409e-06  1.14900246e-05  6.18026794e-06 
 1.18000000e+00  1.18000000e+00  8.85159463e-06  1.14900793e-05  6.18021379e-06 
 1.19000000e+00  1.19000000e+00  8.85159507e-06  1.14901226e-05  6.18017095e-06 
 1.20000000e+00  1.20000000e+00  8.85159541e-06  1.14901566e-05  6.18013728e-06 
 1.21000000e+00  1.21000000e+00  8.85159567e-06  1.14901831e-05  6.18011100e-06 
 1.22000000e+00  1.22000000e+00  8.85159588e-06  1.14902037e-05  6.18009062e-06 
 1.23000000e+00  1.23000000e+00  8.85159604e-06  1.14902196e-05  6.18007490e-06 
 1.24000000e+00  1.24000000e+00  8.85159616e-06  1.14902318e-05  6.18006285e-06 
 1.25000000e+00  1.25000000e+00  8.85159626e-06  1.14902411e-05  6.18005365e-06 
 1.26000000e+00  1.26000000e+00  8.85159633e-06  1.14902481e-05  6.18004667e-06 
 1.27000000e+00  1.27000000e+00  8.85159638e-06  1.14902535e-05  6.18004140e-06 
 1.28000000e+00  1.28000000e+00  8.85159642e-06  1.14902575e-05  6.18003743e-06 
 1.29000000e+00  1.29000000e+00  8.85159645e-06  1.14902605e-05  6.18003444e-06 
 1.30000000e+00  1.30000000e+00  8.85159647e-06  1.14902627e-05  6.18003221e-06 
 1.31000000e+00  1.31000000e+00  8.85159649e-06  1.14902644e-05  6.18003055e-06 
 1.32000000e+00  1.32000000e+00  8.85159650e-06  1.14902657e-05  6.18002931e-06 
 1.33000000e+00  1.33000000e+00  8.85159651e-06  1.14902666e-05  6.18002839e-06 
 1.34000000e+00  1.34000000e+00  8.85159652e-06  1.14902673e-05  6.18002771e-06 
 1.35000000e+00  1.35000000e+00  8.85159652e-06  1.14902678e-05  6.18002721e-06 
 1.36000000e+00  1.36000000e+00  8.85159653e-06  1.14902682e-05  6.18002684e-06 
 1.37000000e+00  1.37000000e+00  8.85159653e-06  1.14902684e-05  6.18002656e-06 
 1.38000000e+00  1.38000000e+00  8.85159653e-06  1.14902686e-05  6.18002636e-06 
 1.39000000e+00  1.39000000e+00  8.85159653e-06  1.14902688e-05  6.18002621e-06 
 1.40000000e+00  1.40000000e+00  8.85159653e-06  1.14902689e-05  6.18002610e-06 
 1.41000000e+00  1.41000000e+00  8.85159654e-06  1.14902690e-05  6.18002602e-06 
 1.42000000e+00  1.42000000e+00  8.85159654e-06  1.14902691e-05  6.18002596e-06 
 1.43000000e+00  1.43000000e+00  8.85159654e-06  1.14902691e-05  6.18002592e-06 
 1.44000000e+00  1.44000000e+00  8.85159654e-06  1.14902691e-05  6.18002589e-06 
 1.45000000e+00  1.45000000e+00  8.85159654e-06  1.14902692e-05  6.18002586e-06 
 1.46000000e+00  1.46000000e+00  8.85159654e-06  1.14902692e-05  6.18002585e-06 
 1.47000000e+00  1.47000000e+00  8.85159654e-06  1.14902692e-05  6.18002583e-06 
 1.48000000e+00  1.48000000e+00  8.85159654e-06  1.14902692e-05  6.18002582e-06 
 1.49000000e+00  1.49000000e+00  8.85159654e-06  1.14902692e-05  6.18002582e-06 
 1.50000000e+00  1.50000000e+00  8.85159654e-06  1.14902692e-05  6.18002581e-06 
 1.51000000e+00  1.51000000e+00  8.85159654e-06  1.14902692e-05  6.18002581e-06 
 1.52000000e+00  1.52000000e+00  8.85159654e-06  1.14902692e-05  6.18002581e-06 
 1.53000000e+00  1.53000000e+00  8.85159654e-06  1.14902692e-05  6.18002581e-06 
 1.54000000e+00  1.54000000e+00  8.85159654e-06  1.14902692e-05  6.18002581e-06 
 1.55000000e+00  1.55000000e+00  8.85159654e-06  1.14902692e-05  6.18002581e-06 
 1.56000000e+00  1.56000000e+00  8.85159654e-06  1.14902692e-05  6.18002581e-06 
 1.57000000e+00  1.57000000e+00  8.85159654e-06  1.14902692e-05  6.18002581e-06 
 1.58000000e+00  1.58000000e+00  8.85159654e-06  1.14902692e-05  6.18002581e-06 
 1.59000000e+00  1.59000000e+00  8.85159654e-06  1.14902692e-05  6.18002581e-06 
 1.60000000e+00  1.60000000e+00  8.85159654e-06  1.14902692e-05  6.18002581e-06 
 1.61000000e+00  1.61000000e+00  8.85159654e-06  1.14902692e-05  6.18002581e-06 
 1.62000000e+00  1.62000000e+00  8.85159654e-06  1.14902692e-05  6.18002581e-06 
 1.63000000e+00  1.63000000e+00  8.85159654e-06  1.14902692e-05  6.18002581e-06 
 1.64000000e+00  1.64000000e+00  8.85159654e-06  1.14902692e-05  6.18002582e-06 
 1.65000000e+00  1.65000000e+00  8.85159654e-06  1.14902692e-05  6.18002582e-06 
 1.66000000e+00  1.66000000e+00  8.85159654e-06  1.14902692e-05  6.18002582e-06 
 1.67000000e+00  1.67000000e+00  8.85159654e-06  1.14902692e-05  6.18002582e-06 
 1.68000000e+00  1.68000000e+00  8.85159654e-06  1.14902692e-05  6.18002582e-06 
 1.69000000e+00  1.69000000e+00  8.85159654e-06  1.14902692e-05  6.18002583e-06 
 1.70000000e+00  1.70000000e+00  8.85159654e-06  1.14902692e-05  6.18002583e-06 
 1.71000000e+00  1.71000000e+00  8.85159654e-06  1.14902692e-05  6.18002583e-06 
 1.72000000e+00  1.72000000e+00  8.85159654e-06  1.14902692e-05  6.18002583e-06 
 1.73000000e+00  1.73000000e+00  8.85159654e-06  1.14902692e-05  6.18002584e-06 
 1.74000000e+00  1.74000000e+00  8.85159654e-06  1.14902692e-05  6.18002584e-06 
 1.75000000e+00  1.75000000e+00  8.85159654e-06  1.14902692e-05  6.18002584e-06 
 1.76000000e+00  1.76000000e+00  8.85159654e-06  1.14902692e-05  6.18002584e-06 
 1.77000000e+00  1.77000000e+00  8.85159654e-06  1.14902692e-05  6.18002585e-06 
 1.78000000e+00  1.78000000e+00  8.85159654e-06  1.14902692e-05  6.18002585e-06 
 1.79000000e+00  1.79000000e+00  8.85159654e-06  1.14902692e-05  6.18002585e-06 
 1.80000000e+00  1.80000000e+00  8.85159654e-06  1.14902692e-05  6.18002586e-06 
