 v-sweep         v(vin_p)        i(v.x4.vib)     i(v.x4.vibx2)   v(x4.min1)      v(x4.min2)      i(vir)          i(viout_p)      i(viout_n)     
 5.50000000e-01  5.50000000e-01  4.77955166e-06  1.73548995e-05  1.18184949e-01  1.18516311e-01  2.94879457e-06  1.55255966e-05  9.53042613e-06 
 5.60000000e-01  5.60000000e-01  4.77078876e-06  1.73547876e-05  1.18182172e-01  1.18519521e-01  2.99810596e-06  1.55835614e-05  9.48129603e-06 
 5.70000000e-01  5.70000000e-01  4.76080106e-06  1.73546746e-05  1.18179367e-01  1.18522708e-01  3.04690037e-06  1.56422329e-05  9.43268127e-06 
 5.80000000e-01  5.80000000e-01  4.74936150e-06  1.73545602e-05  1.18176528e-01  1.18525868e-01  3.09510047e-06  1.57017606e-05  9.38465890e-06 
 5.90000000e-01  5.90000000e-01  4.73620862e-06  1.73544441e-05  1.18173646e-01  1.18528992e-01  3.14261410e-06  1.57623134e-05  9.33732072e-06 
 6.00000000e-01  6.00000000e-01  4.72104995e-06  1.73543259e-05  1.18170714e-01  1.18532075e-01  3.18933262e-06  1.58240749e-05  9.29077498e-06 
 6.10000000e-01  6.10000000e-01  4.70357136e-06  1.73542053e-05  1.18167722e-01  1.18535108e-01  3.23513005e-06  1.58872329e-05  9.24514717e-06 
 6.20000000e-01  6.20000000e-01  4.68345457e-06  1.73540820e-05  1.18164662e-01  1.18538079e-01  3.27986371e-06  1.59519626e-05  9.20057944e-06 
 6.30000000e-01  6.30000000e-01  4.66040397e-06  1.73539557e-05  1.18161530e-01  1.18540979e-01  3.32337678e-06  1.60184027e-05  9.15722801e-06 
 6.40000000e-01  6.40000000e-01  4.63418154e-06  1.73538264e-05  1.18158321e-01  1.18543796e-01  3.36550312e-06  1.60866248e-05  9.11525839e-06 
 6.50000000e-01  6.50000000e-01  4.60464594e-06  1.73536940e-05  1.18155038e-01  1.18546516e-01  3.40607431e-06  1.61566020e-05  9.07483834e-06 
 6.60000000e-01  6.60000000e-01  4.57178898e-06  1.73535590e-05  1.18151689e-01  1.18549129e-01  3.44492789e-06  1.62281803e-05  9.03612971e-06 
 6.70000000e-01  6.70000000e-01  4.53576131e-06  1.73534218e-05  1.18148287e-01  1.18551624e-01  3.48191572e-06  1.63010614e-05  8.99928005e-06 
 6.80000000e-01  6.80000000e-01  4.49688115e-06  1.73532834e-05  1.18144854e-01  1.18553991e-01  3.51691102e-06  1.63748013e-05  8.96441565e-06 
 6.90000000e-01  6.90000000e-01  4.45562346e-06  1.73531448e-05  1.18141417e-01  1.18556222e-01  3.54981331e-06  1.64488255e-05  8.93163659e-06 
 7.00000000e-01  7.00000000e-01  4.41259163e-06  1.73530072e-05  1.18138007e-01  1.18558311e-01  3.58055095e-06  1.65224602e-05  8.90101421e-06 
 7.10000000e-01  7.10000000e-01  4.36847679e-06  1.73528721e-05  1.18134657e-01  1.18560254e-01  3.60908173e-06  1.65949735e-05  8.87259052e-06 
 7.20000000e-01  7.20000000e-01  4.32401154e-06  1.73527408e-05  1.18131402e-01  1.18562050e-01  3.63539218e-06  1.66656205e-05  8.84637894e-06 
 7.30000000e-01  7.30000000e-01  4.27992368e-06  1.73526146e-05  1.18128273e-01  1.18563699e-01  3.65949609e-06  1.67336886e-05  8.82236568e-06 
 7.40000000e-01  7.40000000e-01  4.23689483e-06  1.73524946e-05  1.18125299e-01  1.18565202e-01  3.68143284e-06  1.67985366e-05  8.80051152e-06 
 7.50000000e-01  7.50000000e-01  4.19552677e-06  1.73523818e-05  1.18122503e-01  1.18566563e-01  3.70126540e-06  1.68596267e-05  8.78075368e-06 
 7.60000000e-01  7.60000000e-01  4.15631723e-06  1.73522769e-05  1.18119904e-01  1.18567787e-01  3.71907811e-06  1.69165461e-05  8.76300812e-06 
 7.70000000e-01  7.70000000e-01  4.11964588e-06  1.73521804e-05  1.18117511e-01  1.18568881e-01  3.73497405e-06  1.69690188e-05  8.74717216e-06 
 7.80000000e-01  7.80000000e-01  4.08577025e-06  1.73520924e-05  1.18115332e-01  1.18569852e-01  3.74907176e-06  1.70169059e-05  8.73312767e-06 
 7.90000000e-01  7.90000000e-01  4.05483046e-06  1.73520130e-05  1.18113365e-01  1.18570709e-01  3.76150154e-06  1.70601976e-05  8.72074484e-06 
 8.00000000e-01  8.00000000e-01  4.02686120e-06  1.73519420e-05  1.18111604e-01  1.18571462e-01  3.77240131e-06  1.70989970e-05  8.70988626e-06 
 8.10000000e-01  8.10000000e-01  4.00180847e-06  1.73518789e-05  1.18110041e-01  1.18572119e-01  3.78191242e-06  1.71334990e-05  8.70041111e-06 
 8.20000000e-01  8.20000000e-01  3.97954898e-06  1.73518232e-05  1.18108661e-01  1.18572690e-01  3.79017557e-06  1.71639670e-05  8.69217920e-06 
 8.30000000e-01  8.30000000e-01  3.95990977e-06  1.73517744e-05  1.18107452e-01  1.18573185e-01  3.79732734e-06  1.71907101e-05  8.68505449e-06 
 8.40000000e-01  8.40000000e-01  3.94268640e-06  1.73517318e-05  1.18106396e-01  1.18573612e-01  3.80349727e-06  1.72140617e-05  8.67890790e-06 
 8.50000000e-01  8.50000000e-01  3.92765859e-06  1.73516948e-05  1.18105480e-01  1.18573979e-01  3.80880584e-06  1.72343618e-05  8.67361943e-06 
 8.60000000e-01  8.60000000e-01  3.91460262e-06  1.73516628e-05  1.18104686e-01  1.18574295e-01  3.81336315e-06  1.72519436e-05  8.66907937e-06 
 8.70000000e-01  8.70000000e-01  3.90330051e-06  1.73516351e-05  1.18104001e-01  1.18574566e-01  3.81726837e-06  1.72671239e-05  8.66518894e-06 
 8.80000000e-01  8.80000000e-01  3.89354630e-06  1.73516113e-05  1.18103412e-01  1.18574797e-01  3.82060972e-06  1.72801961e-05  8.66186024e-06 
 8.90000000e-01  8.90000000e-01  3.88514984e-06  1.73515909e-05  1.18102906e-01  1.18574995e-01  3.82346490e-06  1.72914277e-05  8.65901587e-06 
 9.00000000e-01  9.00000000e-01  3.87793864e-06  1.73515734e-05  1.18102472e-01  1.18575164e-01  3.82590175e-06  1.73010586e-05  8.65658825e-06 
 9.10000000e-01  9.10000000e-01  3.87175836e-06  1.73515584e-05  1.18102101e-01  1.18575308e-01  3.82797916e-06  1.73093016e-05  8.65451871e-06 
 9.20000000e-01  9.20000000e-01  3.86647234e-06  1.73515456e-05  1.18101784e-01  1.18575431e-01  3.82974798e-06  1.73163439e-05  8.65275659e-06 
 9.30000000e-01  9.30000000e-01  3.86196048e-06  1.73515347e-05  1.18101513e-01  1.18575535e-01  3.83125198e-06  1.73223490e-05  8.65125829e-06 
 9.40000000e-01  9.40000000e-01  3.85811786e-06  1.73515254e-05  1.18101283e-01  1.18575624e-01  3.83252874e-06  1.73274593e-05  8.64998637e-06 
 9.50000000e-01  9.50000000e-01  3.85485317e-06  1.73515175e-05  1.18101088e-01  1.18575699e-01  3.83361050e-06  1.73317980e-05  8.64890870e-06 
 9.60000000e-01  9.60000000e-01  3.85208709e-06  1.73515108e-05  1.18100923e-01  1.18575762e-01  3.83452493e-06  1.73354720e-05  8.64799774e-06 
 9.70000000e-01  9.70000000e-01  3.84975080e-06  1.73515052e-05  1.18100783e-01  1.18575816e-01  3.83529576e-06  1.73385736e-05  8.64722983e-06 
 9.80000000e-01  9.80000000e-01  3.84778459e-06  1.73515005e-05  1.18100666e-01  1.18575861e-01  3.83594342e-06  1.73411828e-05  8.64658463e-06 
 9.90000000e-01  9.90000000e-01  3.84613656e-06  1.73514965e-05  1.18100567e-01  1.18575898e-01  3.83648553e-06  1.73433690e-05  8.64604457e-06 
