 yes             code            v(sb0)          v(sb1)          v(sb2)          v(sb3)          v(sb4)          v(sb5)          v(sb6)          v(sb7)          i(vib)          i(visense)      i(vidump)       v(q)            v(qbar)        
 1.00000000e+00  3.70000000e+01  1.30000000e+00  0.00000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  5.45641994e-06  9.58997295e-07  4.49741455e-06  2.00795881e-09  2.00795881e-09 
 1.00000000e+00  3.80000000e+01  0.00000000e+00  1.30000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  5.45642035e-06  9.61437121e-07  4.49497513e-06  2.00795881e-09  2.00795881e-09 
 1.00000000e+00  3.90000000e+01  1.30000000e+00  1.30000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  5.45642129e-06  9.94446404e-07  4.46196679e-06  2.00795881e-09  2.00795881e-09 
 1.00000000e+00  4.00000000e+01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.30000000e+00  0.00000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  5.45642118e-06  9.66437261e-07  4.48997582e-06  2.00795870e-09  2.00795870e-09 
 1.00000000e+00  4.10000000e+01  1.30000000e+00  0.00000000e+00  0.00000000e+00  1.30000000e+00  0.00000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  5.45642274e-06  1.03739915e-06  4.41901549e-06  2.00795870e-09  2.00795870e-09 
 1.00000000e+00  4.20000000e+01  0.00000000e+00  1.30000000e+00  0.00000000e+00  1.30000000e+00  0.00000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  5.45642327e-06  1.04786947e-06  4.40854570e-06  2.00795870e-09  2.00795870e-09 
 1.00000000e+00  4.30000000e+01  1.30000000e+00  1.30000000e+00  0.00000000e+00  1.30000000e+00  0.00000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  5.45642426e-06  1.08733761e-06  4.36907856e-06  2.00795881e-09  2.00795881e-09 
 1.00000000e+00  4.40000000e+01  0.00000000e+00  0.00000000e+00  1.30000000e+00  1.30000000e+00  0.00000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  5.45642432e-06  1.06910612e-06  4.38731010e-06  2.00795870e-09  2.00795870e-09 
 1.00000000e+00  4.50000000e+01  1.30000000e+00  0.00000000e+00  1.30000000e+00  1.30000000e+00  0.00000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  5.45642552e-06  1.12283034e-06  4.33358708e-06  2.00795870e-09  2.00795870e-09 
 1.00000000e+00  4.60000000e+01  0.00000000e+00  1.30000000e+00  1.30000000e+00  1.30000000e+00  0.00000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  5.45642581e-06  1.11957241e-06  4.33684531e-06  2.00795881e-09  2.00795881e-09 
