 i-sweep         v(vout)         i(viin)         v(vgate)        v(vmid)        
 1.90000000e-05  1.24636080e+00  1.90000000e-05  1.50000000e+00  2.00000000e-01 
 1.91000000e-05  1.24756417e+00  1.91000000e-05  1.50000000e+00  2.00000000e-01 
 1.92000000e-05  1.24875769e+00  1.92000000e-05  1.50000000e+00  2.00000000e-01 
 1.93000000e-05  1.24994160e+00  1.93000000e-05  1.50000000e+00  2.00000000e-01 
 1.94000000e-05  1.25111615e+00  1.94000000e-05  1.50000000e+00  2.00000000e-01 
 1.95000000e-05  1.25228155e+00  1.95000000e-05  1.50000000e+00  2.00000000e-01 
 1.96000000e-05  1.25343803e+00  1.96000000e-05  1.50000000e+00  2.00000000e-01 
 1.97000000e-05  1.25458579e+00  1.97000000e-05  1.50000000e+00  2.00000000e-01 
 1.98000000e-05  1.25572503e+00  1.98000000e-05  1.50000000e+00  2.00000000e-01 
 1.99000000e-05  1.25685595e+00  1.99000000e-05  1.50000000e+00  2.00000000e-01 
 2.00000000e-05  1.25797873e+00  2.00000000e-05  1.50000000e+00  2.00000000e-01 
 2.01000000e-05  1.25909356e+00  2.01000000e-05  1.50000000e+00  2.00000000e-01 
 2.02000000e-05  1.26020060e+00  2.02000000e-05  1.50000000e+00  2.00000000e-01 
 2.03000000e-05  1.26130002e+00  2.03000000e-05  1.50000000e+00  2.00000000e-01 
 2.04000000e-05  1.26239199e+00  2.04000000e-05  1.50000000e+00  2.00000000e-01 
 2.05000000e-05  1.26347665e+00  2.05000000e-05  1.50000000e+00  2.00000000e-01 
 2.06000000e-05  1.26455417e+00  2.06000000e-05  1.50000000e+00  2.00000000e-01 
 2.07000000e-05  1.26562469e+00  2.07000000e-05  1.50000000e+00  2.00000000e-01 
 2.08000000e-05  1.26668835e+00  2.08000000e-05  1.50000000e+00  2.00000000e-01 
 2.09000000e-05  1.26774528e+00  2.09000000e-05  1.50000000e+00  2.00000000e-01 
 2.10000000e-05  1.26879562e+00  2.10000000e-05  1.50000000e+00  2.00000000e-01 
 2.11000000e-05  1.26983949e+00  2.11000000e-05  1.50000000e+00  2.00000000e-01 
 2.12000000e-05  1.27087703e+00  2.12000000e-05  1.50000000e+00  2.00000000e-01 
 2.13000000e-05  1.27190834e+00  2.13000000e-05  1.50000000e+00  2.00000000e-01 
 2.14000000e-05  1.27293355e+00  2.14000000e-05  1.50000000e+00  2.00000000e-01 
 2.15000000e-05  1.27395277e+00  2.15000000e-05  1.50000000e+00  2.00000000e-01 
 2.16000000e-05  1.27496611e+00  2.16000000e-05  1.50000000e+00  2.00000000e-01 
 2.17000000e-05  1.27597368e+00  2.17000000e-05  1.50000000e+00  2.00000000e-01 
 2.18000000e-05  1.27697557e+00  2.18000000e-05  1.50000000e+00  2.00000000e-01 
 2.19000000e-05  1.27797189e+00  2.19000000e-05  1.50000000e+00  2.00000000e-01 
 2.20000000e-05  1.27896274e+00  2.20000000e-05  1.50000000e+00  2.00000000e-01 
 2.21000000e-05  1.27994821e+00  2.21000000e-05  1.50000000e+00  2.00000000e-01 
