Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_4_124,VGND,li1,65.3200,21.7600,0.000013
FILLER_4_103,VGND,li1,54.7400,21.7600,0.000011
FILLER_4_91,VGND,li1,50.1400,21.7600,0.000010
FILLER_4_83,VGND,li1,43.9300,21.7600,0.000008
FILLER_4_77,VGND,li1,42.3200,21.7600,0.000008
FILLER_4_65,VGND,li1,38.1800,21.7600,0.000006
FILLER_4_53,VGND,li1,32.6600,21.7600,0.000005
FILLER_4_41,VGND,li1,27.1400,21.7600,0.000003
FILLER_4_29,VGND,li1,21.6200,21.7600,0.000003
FILLER_4_27,VGND,li1,18.1700,21.7600,0.000003
FILLER_4_15,VGND,li1,15.1800,21.7600,0.000003
FILLER_4_3,VGND,li1,9.6600,21.7600,0.000003
FILLER_3_281,VGND,li1,135.4700,21.7600,0.000020
FILLER_3_279,VGND,li1,134.0900,21.7600,0.000020
FILLER_3_267,VGND,li1,131.1000,21.7600,0.000020
FILLER_3_255,VGND,li1,125.5800,21.7600,0.000020
FILLER_3_243,VGND,li1,120.0600,21.7600,0.000020
FILLER_3_237,VGND,li1,114.7700,21.7600,0.000020
FILLER_3_233,VGND,li1,113.6200,21.7600,0.000020
FILLER_3_201,VGND,li1,98.4400,21.7600,0.000018
FILLER_3_193,VGND,li1,96.1400,21.7600,0.000018
FILLER_3_181,VGND,li1,91.5400,21.7600,0.000017
FILLER_3_169,VGND,li1,86.0200,21.7600,0.000017
FILLER_3_162,VGND,li1,81.4200,21.7600,0.000016
FILLER_3_151,VGND,li1,76.3600,21.7600,0.000015
FILLER_3_132,VGND,li1,66.7000,21.7600,0.000013
FILLER_3_125,VGND,li1,63.2500,21.7600,0.000013
FILLER_3_113,VGND,li1,60.2600,21.7600,0.000012
FILLER_3_111,VGND,li1,56.8100,21.7600,0.000011
FILLER_3_102,VGND,li1,52.6700,21.7600,0.000010
FILLER_3_98,VGND,li1,51.5200,21.7600,0.000010
FILLER_3_86,VGND,li1,47.8400,21.7600,0.000009
FILLER_3_74,VGND,li1,42.3200,21.7600,0.000008
FILLER_3_63,VGND,li1,34.7300,21.7600,0.000005
FILLER_3_57,VGND,li1,33.1200,21.7600,0.000005
FILLER_3_55,VGND,li1,31.0500,21.7600,0.000004
FILLER_3_51,VGND,li1,29.9000,21.7600,0.000004
FILLER_3_39,VGND,li1,26.2200,21.7600,0.000003
FILLER_3_27,VGND,li1,20.7000,21.7600,0.000003
FILLER_3_15,VGND,li1,15.1800,21.7600,0.000003
FILLER_3_3,VGND,li1,9.6600,21.7600,0.000003
FILLER_2_285,VGND,li1,137.3100,16.3200,0.000066
FILLER_2_273,VGND,li1,133.8600,16.3200,0.000066
FILLER_2_261,VGND,li1,128.3400,16.3200,0.000066
FILLER_2_244,VGND,li1,119.6000,16.3200,0.000066
FILLER_2_223,VGND,li1,109.9400,16.3200,0.000065
FILLER_2_203,VGND,li1,99.1300,16.3200,0.000063
FILLER_2_197,VGND,li1,97.5200,16.3200,0.000062
FILLER_2_195,VGND,li1,95.4500,16.3200,0.000061
FILLER_2_189,VGND,li1,93.8400,16.3200,0.000061
FILLER_2_175,VGND,li1,87.4000,16.3200,0.000058
FILLER_2_167,VGND,li1,83.0300,16.3200,0.000055
FILLER_2_155,VGND,li1,79.5800,16.3200,0.000053
FILLER_2_133,VGND,li1,66.9300,16.3200,0.000045
FILLER_2_119,VGND,li1,61.1800,16.3200,0.000041
FILLER_2_94,VGND,li1,48.9900,16.3200,0.000031
FILLER_2_90,VGND,li1,47.8400,16.3200,0.000031
FILLER_2_82,VGND,li1,43.7000,16.3200,0.000026
FILLER_2_75,VGND,li1,40.4800,16.3200,0.000024
FILLER_2_61,VGND,li1,34.0400,16.3200,0.000019
FILLER_2_53,VGND,li1,31.7400,16.3200,0.000017
FILLER_2_41,VGND,li1,27.1400,16.3200,0.000012
FILLER_2_29,VGND,li1,21.6200,16.3200,0.000010
FILLER_2_27,VGND,li1,18.1700,16.3200,0.000010
FILLER_2_15,VGND,li1,15.1800,16.3200,0.000010
FILLER_2_3,VGND,li1,9.6600,16.3200,0.000010
FILLER_1_281,VGND,li1,135.4700,16.3200,0.000066
FILLER_1_276,VGND,li1,133.4000,16.3200,0.000066
FILLER_1_264,VGND,li1,129.7200,16.3200,0.000066
FILLER_1_252,VGND,li1,124.2000,16.3200,0.000066
FILLER_1_230,VGND,li1,112.7000,16.3200,0.000066
FILLER_1_207,VGND,li1,100.9700,16.3200,0.000063
FILLER_1_201,VGND,li1,99.3600,16.3200,0.000063
FILLER_1_167,VGND,li1,82.5700,16.3200,0.000055
